iter	Passed	Remaining
547	157537	129940
548	157856	129678
549	158185	129424
550	158491	129151
551	158776	128861
552	159073	128582
553	159380	128309
554	159684	128035
555	159979	127753
556	160261	127460
557	160588	127204
558	160882	126921
559	161181	126642
560	161476	126360
561	161759	126068
562	162026	125764
563	162306	125470
564	162597	125185
565	162917	124922
566	163200	124630
567	163485	124340
568	163802	124075
569	164110	123802
570	164408	123521
571	164705	123241
572	165004	122961
573	165309	122685
574	165612	122409
575	165912	122129
576	166212	121850
577	166489	121554
578	166783	121271
579	167093	120999
580	167411	120732
581	167678	120429
582	167971	120144
583	168267	119861
584	168559	119576
585	168856	119294
586	169151	119011
587	169461	118738
588	169726	118434
589	170006	118139
590	170301	117856
591	170607	117581
592	170925	117313
593	171222	117031
594	171512	116743
595	171803	116457
596	172077	116159
597	172371	115875
598	172675	115597
599	172973	115315
600	173262	115028
601	173561	114746
602	173860	114465
603	174146	114175
604	174438	113889
605	174734	113606
606	175037	113327
607	175320	113035
608	175604	112744
609	175885	112451
610	176173	112162
611	176462	111875
612	176771	111599
613	177067	111315
614	177368	111035
615	177673	110757
616	177952	110463
617	178249	110179
618	178531	109887
619	178833	109607
620	179158	109341
621	179489	109078
622	179752	108775
623	180046	108489
624	180360	108216
625	180674	107942
626	180975	107661
627	181281	107383
628	181593	107108
629	181892	106826
630	182191	106543
631	182497	106264
632	182805	105986
633	183114	105709
634	183442	105443
635	183762	105171
636	184043	104878
637	184306	104575
638	184595	104286
639	184880	103995
640	185182	103713
641	185475	103427
642	185806	103161
643	186092	102870
644	186392	102588
645	186698	102308
646	186968	102008
647	187268	101726
648	187558	101437
649	187863	101157
650	188158	100871
651	188478	100598
652	188763	100307
653	189071	100028
654	189343	99730
655	189629	99439
656	189946	99165
657	190254	98886
658	190530	98590
659	190814	98298
660	191127	98021
661	191435	97742
662	191726	97453
663	192038	97176
664	192328	96887
665	192629	96603
666	192927	96319
667	193217	96030
668	193519	95747
669	193797	95452
670	194092	95165
671	194374	94873
672	194671	94588
673	194964	94300
674	195258	94013
675	195530	93715
676	195826	93429
677	196130	93147
678	196431	92863
679	196738	92582
680	197026	92292
681	197331	92010
682	197628	91725
683	197916	91435
684	198195	91140
685	198497	90857
686	198764	90557
687	199061	90271
688	199363	89988
689	199682	89712
690	199988	89430
691	200281	89142
692	200599	88865
693	200890	88577
694	201194	88294
695	201506	88014
696	201815	87733
697	202131	87455
698	202448	87177
699	202767	86900
700	203060	86611
701	203357	86325
702	203670	86045
703	203977	85763
704	204272	85475
705	204575	85191
706	204856	84898
707	205140	84605
708	205427	84315
709	205731	84031
710	206029	83744
711	206335	83461
712	206631	83174
713	206941	82892
714	207243	82607
715	207521	82312
716	207814	82024
717	208104	81734
718	208408	81450
719	208705	81163
720	209004	80877
721	209298	80588
722	209609	80306
723	209893	80014
724	210204	79732
725	210478	79436
726	210759	79143
727	211050	78854
728	211356	78570
729	211647	78280
730	211950	77995
731	212241	77706
732	212579	77433
733	212891	77151
734	213200	76868
735	213466	76569
736	213766	76283
737	214069	75997
738	214385	75716
739	214689	75431
740	215012	75152
741	215310	74865
742	215627	74584
743	215930	74298
744	216221	74008
745	216522	73722
746	216827	73436
747	217108	73143
748	217400	72853
749	217697	72565
750	217993	72277
751	218320	71999
752	218609	71708
753	218914	71422
754	219216	71136
755	219513	70848
756	219818	70562
757	220118	70275
758	220422	69989
759	220709	69697
760	220991	69404
761	221279	69113
762	221592	68830
763	221852	68530
764	222164	68246
765	222467	67960
766	222741	67664
767	223041	67377
768	223337	67088
769	223643	66802
770	223942	66514
771	224229	66223
772	224531	65936
773	224846	65652
774	225107	65353
775	225382	65058
776	225697	64775
777	226003	64489
778	226295	64199
779	226596	63911
780	226880	63619
781	227177	63330
782	227468	63040
783	227767	62752
784	228079	62467
785	228352	62172
786	228654	61884
787	228942	61593
788	229265	61311
789	229562	61023
790	229845	60730
791	230131	60438
792	230436	60151
793	230741	59864
794	231022	59571
795	231337	59287
796	231645	59001
797	231946	58713
798	232251	58426
799	232534	58133
800	232839	57846
801	233112	57551
802	233401	57260
803	233708	56973
804	233991	56681
805	234299	56394
806	234599	56106
807	234880	55813
808	235185	55525
809	235451	55229
810	235745	54939
811	236036	54648
812	236329	54358
813	236632	54070
814	236941	53784
815	237232	53493
816	237552	53209
817	237823	52914
818	238117	52624
819	238398	52331
820	238672	52036
821	239002	51754
822	239326	51471
823	239635	51184
824	239934	50895
825	240262	50612
826	240547	50320
827	240840	50029
828	241137	49740
829	241399	49443
830	241707	49155
831	242003	48866
832	242320	48580
833	242627	48292
834	242909	48000
835	243183	47705
836	243497	47419
837	243798	47130
838	244101	46841
839	244385	46549
840	244685	46260
841	244999	45973
842	245296	45684
843	245557	45387
844	245844	45095
845	246140	44805
846	246441	44516
847	246748	44228
848	247031	43936
849	247369	43653
850	247659	43362
851	247957	43072
852	248265	42784
853	248572	42495
854	248852	42203
855	249132	41910
856	249409	41616
857	249677	41321
858	249962	41029
859	250275	40742
